"","mdate","Mkt_Europe","Mkt_Global","Mkt_US","HML_Europe","HML_Global","HML_US","BAB_Europe","BAB_Global","BAB_US","SMB_Europe","SMB_Global","SMB_US","UMD_Europe","UMD_Global","UMD_US","RF","D.Recession","P.Recession"
"229",Jan 2009,-0.114750904236223,-0.0864246347076996,-0.0787021200584335,-0.00205789629547162,-0.0159910837128329,-0.0536766455573612,-0.0129012489295878,0.0538612313637957,0.1151704978162,0.0449013414405487,0.035315643106516,0.0286011646470392,0.0272425423381355,-0.00262404351238771,-0.0124244992282306,0,1,100
"230",Feb 2009,-0.097026977210328,-0.0974056201961634,-0.101093001485414,-0.0193738895978923,-0.0510531321114462,-0.0914459636017663,0.013822464683933,-0.00133302710747149,-0.00338270465118276,0.0104000277154,0.00448459017712449,-0.00366049951232251,0.0450051440665312,0.0372614884722447,0.0457604009171172,0.01,1,99.9
"231",Mar 2009,0.06573991934176,0.0752009361357386,0.0894408846916944,0.0342728515004951,0.0599576531245628,0.0764934987789198,-0.063885306577056,-0.0434445320955219,-0.0261572018849465,-0.0235221532288072,-0.0116983912296444,-0.00342442392140918,-0.089448461906489,-0.0998902282741544,-0.102320970607907,0.02,1,99.9
"232",Apr 2009,0.146041262181651,0.119611895842727,0.110394034819649,0.166777113792229,0.203259922168367,0.268644237597756,-0.0869700354909783,-0.0728545856451788,-0.0784421983375378,0.0174195376439323,0.0241922259811917,0.0651313139240133,-0.270846893156619,-0.2847863679712,-0.346153651733911,0.01,1,97.4
"233",May 2009,0.124166071404383,0.104514505288781,0.0659513272315279,0.0329989342799295,0.0486366090030063,0.0610359235358467,0.0804150483695048,0.0715300224633823,0.0656845445913104,0.0292573810204498,0.029108414835079,0.00431741411927377,-0.0665532424215545,-0.119905024471057,-0.14381304333309,0,1,89.7
"234",Jun 2009,-0.0170006846022634,-0.00182118047756823,-0.00309751556354967,-0.00256777620598127,-0.00723816878227553,-0.020867324757721,0.0183221383955444,0.060334082798113,0.0908369009912555,0.027835658863777,0.0255029007564177,0.0254640562419267,0.0112171181609357,0.025173991188328,0.0543381380554095,0.01,1,68.2
"235",Jul 2009,0.0949138143681642,0.085247012010055,0.0822332450239412,0.0283992501273079,0.0396199939988322,0.0600918392485589,-0.0558473227742584,-0.0202402715410452,-0.0362766637500829,-0.0373844181494646,-0.00743608555129132,0.010845375702437,-0.0223486640466885,-0.0299261794027984,-0.0464935117622673,0.01,0,3.4
"236",Aug 2009,0.0649606506528306,0.0371256209918019,0.0318962541196737,0.0711413692909322,0.0629510915929573,0.0792719296065217,-0.00491072739362239,0.00556480908774351,-0.0237842493641853,0.0200622332744604,0.0130819467937127,-0.000156152302663431,-0.115610561320178,-0.0822900087675618,-0.099841440698571,0.01,0,0.8
"237",Sep 2009,0.0521131930412896,0.0451746813906367,0.0449156019197938,0.0134070800381742,0.00875612127070145,0.0183341653071877,0.0261248401263854,0.0243103473904741,-0.00370501133876734,0.0242019684095045,0.0229644321266529,0.0243993730193692,-0.0329749128603741,-0.0297114904355799,-0.0536144279089938,0.01,0,0.5
"238",Oct 2009,-0.0142860416421475,-0.0183391821012357,-0.0276602988812825,-0.0117487752405523,-0.00899088232978348,-0.0165354735068194,0.0697184041381298,0.0332455570483641,0.008471385890973,0.00794543433088813,-0.00457670503033208,-0.0312142043204659,0.0298235693256461,0.0175550526785255,0.0147667434177978,0,0,0.3
